MarkerName,Effect,StdErr,P-value,Direction,HetISq,HetChiSq,HetDf,HetPVal,CpG_chrm,CpG_beg,CpG_end,probe_strand,genesUniq,geneNames,transcriptTypes,transcriptIDs,distToTSS,CGI,CGIposition,snpID,snpChrm,snpEnd,snpRef,snpAlt,GAN,GAC,GAF,distance
cg3416,-0.0234,0.0651,0.7194,--,46.5,1.87,1,0.1715,,,,,,,,,,,,,,,,,,,,
cg4919,0.1376,0.3838,0.7199,++,0,0.026,1,0.8729,,,,,,,,,,,,,,,,,,,,
cg203,-0.1672,0.4671,0.7204,--,0,0.002,1,0.9641,,,,,,,,,,,,,,,,,,,,
cg1360,0.058,0.1623,0.7209,-+,0,0.014,1,0.9054,,,,,,,,,,,,,,,,,,,,
cg2625,-0.1097,0.3078,0.7216,+-,0,0.049,1,0.8242,,,,,,,,,,,,,,,,,,,,
cg749,-0.2104,0.5909,0.7217,-+,0,0.417,1,0.5184,,,,,,,,,,,,,,,,,,,,
cg2724,-0.1975,0.5548,0.7218,-+,0,0.287,1,0.5918,,,,,,,,,,,,,,,,,,,,
cg1024,0.0793,0.2235,0.7226,-+,0,0.11,1,0.7398,,,,,,,,,,,,,,,,,,,,
cg1406,0.1398,0.394,0.7228,+-,0,0.769,1,0.3807,,,,,,,,,,,,,,,,,,,,
cg2886,-0.0676,0.1912,0.7236,-+,0,0.719,1,0.3966,,,,,,,,,,,,,,,,,,,,
cg2584,0.1407,0.3977,0.7236,++,0,0.012,1,0.9139,,,,,,,,,,,,,,,,,,,,
cg4200,-0.1627,0.4605,0.7238,-+,74.6,3.944,1,0.04704,,,,,,,,,,,,,,,,,,,,
cg3769,0.1121,0.3172,0.7239,++,0,0.077,1,0.7814,,,,,,,,,,,,,,,,,,,,
cg3298,0.1082,0.3063,0.7239,+-,8.2,1.09,1,0.2965,,,,,,,,,,,,,,,,,,,,
cg3109,-0.1687,0.4784,0.7245,--,0,0.081,1,0.7754,,,,,,,,,,,,,,,,,,,,
cg2289,-0.1209,0.345,0.7261,-+,0,0.231,1,0.6307,,,,,,,,,,,,,,,,,,,,
cg1026,-0.1682,0.4809,0.7265,+-,0,0.06,1,0.8071,,,,,,,,,,,,,,,,,,,,
cg500,-0.1668,0.4771,0.7267,--,0,0.159,1,0.6903,,,,,,,,,,,,,,,,,,,,
cg624,0.0251,0.0717,0.7267,-+,48.1,1.925,1,0.1653,,,,,,,,,,,,,,,,,,,,
cg3447,0.1272,0.3643,0.7269,++,0,0.362,1,0.5473,,,,,,,,,,,,,,,,,,,,
cg2950,-0.1169,0.3348,0.7269,--,0,0.301,1,0.5834,,,,,,,,,,,,,,,,,,,,
cg3343,0.1792,0.5136,0.7272,+-,0,0.631,1,0.4271,,,,,,,,,,,,,,,,,,,,
cg707,0.1147,0.3308,0.7287,+-,85.1,6.696,1,0.009663,,,,,,,,,,,,,,,,,,,,
cg2229,0.0753,0.2169,0.7287,-+,0,0.271,1,0.6029,,,,,,,,,,,,,,,,,,,,
cg4425,0.1642,0.4741,0.7291,+-,0,0.661,1,0.4162,,,,,,,,,,,,,,,,,,,,
cg1343,-0.0955,0.2763,0.7298,--,0,0.465,1,0.4955,,,,,,,,,,,,,,,,,,,,
cg1659,0.1388,0.4028,0.7304,++,0,0.156,1,0.693,,,,,,,,,,,,,,,,,,,,
cg3379,0.2096,0.6087,0.7307,++,0,0.029,1,0.8652,,,,,,,,,,,,,,,,,,,,
cg810,0.062,0.1802,0.7309,++,0,0.075,1,0.784,,,,,,,,,,,,,,,,,,,,
cg4982,0.0615,0.179,0.7313,-+,21.7,1.277,1,0.2584,,,,,,,,,,,,,,,,,,,,
cg4478,-0.1726,0.5034,0.7316,--,0,0.052,1,0.82,,,,,,,,,,,,,,,,,,,,
cg3767,-0.1447,0.4234,0.7325,--,0,0.064,1,0.7998,,,,,,,,,,,,,,,,,,,,
cg4764,0.0839,0.2459,0.7329,++,0,0.006,1,0.9374,,,,,,,,,,,,,,,,,,,,
cg1631,-0.0819,0.2401,0.7329,+-,0,0.752,1,0.3858,,,,,,,,,,,,,,,,,,,,
cg1448,-0.1346,0.3947,0.733,--,0,0.002,1,0.9634,,,,,,,,,,,,,,,,,,,,
cg3640,0.1016,0.2981,0.7331,-+,0,0.64,1,0.4236,,,,,,,,,,,,,,,,,,,,
cg4503,0.0528,0.1566,0.7358,-+,0,0.327,1,0.5673,,,,,,,,,,,,,,,,,,,,
cg3537,-0.1065,0.3163,0.7363,--,0,0.01,1,0.9202,,,,,,,,,,,,,,,,,,,,
cg3320,-0.1263,0.3751,0.7363,--,0,0.041,1,0.8388,,,,,,,,,,,,,,,,,,,,
cg406,0.0516,0.1532,0.7365,++,0,0.053,1,0.8171,,,,,,,,,,,,,,,,,,,,
cg3019,-0.2101,0.625,0.7367,-+,0,0.614,1,0.4334,,,,,,,,,,,,,,,,,,,,
cg742,0.0574,0.1708,0.7368,++,0,0.185,1,0.6671,,,,,,,,,,,,,,,,,,,,
cg1300,-0.2203,0.6566,0.7372,--,0,0.02,1,0.8869,,,,,,,,,,,,,,,,,,,,
cg671,-0.0839,0.2501,0.7373,+-,82.8,5.808,1,0.01595,,,,,,,,,,,,,,,,,,,,
cg1438,-0.126,0.3762,0.7376,--,0,0.104,1,0.747,,,,,,,,,,,,,,,,,,,,
cg1090,-0.0703,0.2101,0.7377,--,0,0.111,1,0.7386,,,,,,,,,,,,,,,,,,,,
cg4815,0.1225,0.3665,0.7383,+-,34.2,1.519,1,0.2178,,,,,,,,,,,,,,,,,,,,
cg1288,-0.1334,0.3996,0.7385,-+,28.4,1.397,1,0.2373,,,,,,,,,,,,,,,,,,,,
cg2606,0.026,0.078,0.7387,++,0,0.276,1,0.5994,,,,,,,,,,,,,,,,,,,,
cg4400,0.1145,0.344,0.7393,+-,43.9,1.783,1,0.1818,,,,,,,,,,,,,,,,,,,,
cg109,0.2205,0.6632,0.7396,-+,0,0.192,1,0.6613,,,,,,,,,,,,,,,,,,,,
cg837,0.0926,0.2792,0.7401,-+,22.4,1.288,1,0.2564,,,,,,,,,,,,,,,,,,,,
cg47,-0.2106,0.6374,0.7411,-+,14.7,1.173,1,0.2788,,,,,,,,,,,,,,,,,,,,
cg3375,0.121,0.3665,0.7412,++,0,0.537,1,0.4638,,,,,,,,,,,,,,,,,,,,
cg479,-0.1177,0.3566,0.7414,-+,0,0.421,1,0.5164,,,,,,,,,,,,,,,,,,,,
cg4325,-0.1173,0.3563,0.7421,--,0,0.145,1,0.7035,,,,,,,,,,,,,,,,,,,,
cg3820,-0.1257,0.3826,0.7424,-+,66.3,2.968,1,0.0849,,,,,,,,,,,,,,,,,,,,
cg991,0.1018,0.3099,0.7426,-+,0,0.513,1,0.474,,,,,,,,,,,,,,,,,,,,
cg448,0.0389,0.1186,0.7426,+-,80.1,5.025,1,0.02499,,,,,,,,,,,,,,,,,,,,
cg1512,-0.1775,0.5407,0.7427,+-,0,0.293,1,0.588,,,,,,,,,,,,,,,,,,,,
cg538,0.1756,0.5352,0.7429,++,0,0.006,1,0.9376,,,,,,,,,,,,,,,,,,,,
cg1960,-0.1257,0.3836,0.7432,--,0,0.013,1,0.9086,,,,,,,,,,,,,,,,,,,,
cg666,0.0913,0.2787,0.7433,+-,9,1.099,1,0.2946,,,,,,,,,,,,,,,,,,,,
cg4691,0.0448,0.137,0.7434,++,11.8,1.134,1,0.287,,,,,,,,,,,,,,,,,,,,
cg3892,0.134,0.4095,0.7434,++,0,0.098,1,0.7541,,,,,,,,,,,,,,,,,,,,
cg368,-0.1071,0.3274,0.7436,--,0,0.022,1,0.8831,,,,,,,,,,,,,,,,,,,,
cg4351,0.0404,0.1246,0.7458,-+,0,0.574,1,0.4488,,,,,,,,,,,,,,,,,,,,
cg3617,-0.2125,0.6554,0.7458,+-,0,0.232,1,0.6297,,,,,,,,,,,,,,,,,,,,
cg2187,-0.0472,0.146,0.7466,+-,0,0.049,1,0.8246,,,,,,,,,,,,,,,,,,,,
cg2010,-0.1064,0.3297,0.7468,--,0,0.054,1,0.8157,,,,,,,,,,,,,,,,,,,,
cg393,0.0675,0.2097,0.7477,+-,63.5,2.742,1,0.09774,,,,,,,,,,,,,,,,,,,,
cg4246,0.0528,0.1643,0.748,-+,0,0.148,1,0.7008,,,,,,,,,,,,,,,,,,,,
cg563,0.0859,0.2674,0.7481,-+,0,0.351,1,0.5538,,,,,,,,,,,,,,,,,,,,
cg1411,0.2213,0.6898,0.7483,+-,0,0.217,1,0.641,,,,,,,,,,,,,,,,,,,,
cg3318,-0.0205,0.0641,0.7485,--,0,0.05,1,0.8234,,,,,,,,,,,,,,,,,,,,
cg1353,-0.1517,0.4738,0.7489,--,0,0,1,0.9901,,,,,,,,,,,,,,,,,,,,
cg734,0.193,0.6064,0.7502,++,0,0.244,1,0.6211,,,,,,,,,,,,,,,,,,,,
cg3438,0.1916,0.6016,0.7502,++,0,0.022,1,0.882,,,,,,,,,,,,,,,,,,,,
cg2030,0.1271,0.3995,0.7503,+-,0,0.386,1,0.5342,,,,,,,,,,,,,,,,,,,,
cg2945,0.1737,0.5466,0.7506,+-,0,0.11,1,0.7397,,,,,,,,,,,,,,,,,,,,
cg3018,0.0901,0.2837,0.7507,+-,81.3,5.359,1,0.02061,,,,,,,,,,,,,,,,,,,,
cg3503,0.1248,0.393,0.7507,+-,58,2.38,1,0.1229,,,,,,,,,,,,,,,,,,,,
cg370,-0.2024,0.6377,0.7509,--,0,0.09,1,0.7644,,,,,,,,,,,,,,,,,,,,
cg4857,-0.122,0.3845,0.7511,--,0,0.016,1,0.8985,,,,,,,,,,,,,,,,,,,,
cg2789,0.1534,0.4838,0.7512,++,0,0.005,1,0.9458,,,,,,,,,,,,,,,,,,,,
cg431,0.0388,0.1225,0.7514,++,11,1.124,1,0.289,,,,,,,,,,,,,,,,,,,,
cg3466,0.0972,0.3075,0.7519,-+,57.6,2.36,1,0.1245,,,,,,,,,,,,,,,,,,,,
cg3846,-0.1182,0.374,0.752,--,0,0.01,1,0.9208,,,,,,,,,,,,,,,,,,,,
cg4353,0.1972,0.6245,0.7521,++,0,0,1,0.9968,,,,,,,,,,,,,,,,,,,,
cg2426,-0.142,0.4506,0.7526,-+,0,0.335,1,0.5626,,,,,,,,,,,,,,,,,,,,
cg4799,0.1211,0.385,0.7531,++,0,0.102,1,0.7498,,,,,,,,,,,,,,,,,,,,
cg1242,0.099,0.315,0.7534,++,0,0.053,1,0.8182,,,,,,,,,,,,,,,,,,,,
cg1073,0.1515,0.4826,0.7535,+-,0,0.943,1,0.3315,,,,,,,,,,,,,,,,,,,,
cg902,0.1368,0.4356,0.7535,+-,0,0.517,1,0.4719,,,,,,,,,,,,,,,,,,,,
cg2938,-0.0705,0.2246,0.7538,+-,55.6,2.253,1,0.1333,,,,,,,,,,,,,,,,,,,,
cg850,0.1666,0.5316,0.754,-+,0,0.102,1,0.7491,,,,,,,,,,,,,,,,,,,,
cg1252,0.0295,0.0943,0.754,++,22.3,1.287,1,0.2566,,,,,,,,,,,,,,,,,,,,
cg3401,0.0214,0.0682,0.7541,++,69.1,3.241,1,0.07181,,,,,,,,,,,,,,,,,,,,
cg4090,0.0822,0.2628,0.7545,++,0,0,1,0.9857,,,,,,,,,,,,,,,,,,,,
cg1067,0.0182,0.0583,0.755,-+,53.3,2.142,1,0.1433,,,,,,,,,,,,,,,,,,,,
cg3565,-0.152,0.4877,0.7553,+-,0,0.082,1,0.7752,,,,,,,,,,,,,,,,,,,,
cg3635,-0.1153,0.3711,0.756,--,0,0.016,1,0.8995,,,,,,,,,,,,,,,,,,,,
cg4758,-0.1592,0.5129,0.7562,--,0,0.001,1,0.9811,,,,,,,,,,,,,,,,,,,,
cg4264,-0.1452,0.4682,0.7565,--,0,0.028,1,0.8664,,,,,,,,,,,,,,,,,,,,
cg1189,0.1681,0.5425,0.7567,-+,0,0.128,1,0.7209,,,,,,,,,,,,,,,,,,,,
cg4786,-0.1314,0.4253,0.7575,+-,0,0.117,1,0.7318,,,,,,,,,,,,,,,,,,,,
cg3863,-0.0993,0.3217,0.7576,+-,0,0.29,1,0.59,,,,,,,,,,,,,,,,,,,,
cg3831,-0.1612,0.5228,0.7578,-+,0,0.712,1,0.3989,,,,,,,,,,,,,,,,,,,,
cg3850,0.0879,0.2852,0.7579,+-,0,0.717,1,0.3972,,,,,,,,,,,,,,,,,,,,
cg4416,-0.084,0.2726,0.7581,-+,0,0.222,1,0.6378,,,,,,,,,,,,,,,,,,,,
cg3131,-0.0712,0.2314,0.7583,-+,0,0.929,1,0.335,,,,,,,,,,,,,,,,,,,,
cg1787,-0.0243,0.0789,0.7584,--,67,3.029,1,0.08181,,,,,,,,,,,,,,,,,,,,
cg2223,0.0179,0.0582,0.7586,-+,0,0,1,0.9839,,,,,,,,,,,,,,,,,,,,
cg2301,0.1409,0.459,0.7588,+-,10.5,1.118,1,0.2904,,,,,,,,,,,,,,,,,,,,
cg2562,0.1347,0.4395,0.7593,-+,0,0.778,1,0.3776,,,,,,,,,,,,,,,,,,,,
cg4019,0.2156,0.704,0.7594,++,0,0.06,1,0.8069,,,,,,,,,,,,,,,,,,,,
cg3780,-0.1098,0.3587,0.7595,--,0,0.105,1,0.7455,,,,,,,,,,,,,,,,,,,,
cg383,-0.1485,0.4861,0.7599,+-,0,0.083,1,0.7728,,,,,,,,,,,,,,,,,,,,
cg3488,0.1813,0.5937,0.7601,+-,11.6,1.131,1,0.2875,,,,,,,,,,,,,,,,,,,,
cg1727,0.0701,0.2297,0.7603,-+,58.1,2.386,1,0.1224,,,,,,,,,,,,,,,,,,,,
cg55,-0.1047,0.3437,0.7607,+-,0,0.098,1,0.7546,,,,,,,,,,,,,,,,,,,,
cg4411,0.0561,0.1842,0.7607,+-,75.5,4.082,1,0.04333,,,,,,,,,,,,,,,,,,,,
cg317,-0.1585,0.5214,0.7612,--,0,0.001,1,0.9798,,,,,,,,,,,,,,,,,,,,
cg1260,0.0642,0.2126,0.7627,+-,79.1,4.792,1,0.02859,,,,,,,,,,,,,,,,,,,,
cg4498,-0.141,0.4671,0.7628,-+,83.1,5.91,1,0.01505,,,,,,,,,,,,,,,,,,,,
cg4722,0.0919,0.3045,0.7629,-+,0,0.291,1,0.5896,,,,,,,,,,,,,,,,,,,,
cg1552,0.1626,0.5395,0.7632,+-,0,0.366,1,0.5454,,,,,,,,,,,,,,,,,,,,
cg439,-0.2043,0.6784,0.7633,--,0,0.008,1,0.9305,,,,,,,,,,,,,,,,,,,,
cg3628,0.0635,0.2107,0.7633,+-,0,0.345,1,0.5569,,,,,,,,,,,,,,,,,,,,
cg156,0.1287,0.4279,0.7635,++,0,0.017,1,0.8975,,,,,,,,,,,,,,,,,,,,
cg2964,0.0731,0.2439,0.7643,+-,44,1.785,1,0.1815,,,,,,,,,,,,,,,,,,,,
cg1141,0.1372,0.4578,0.7644,+-,0,0.183,1,0.6688,,,,,,,,,,,,,,,,,,,,
cg1764,0.1313,0.4388,0.7649,+-,0,0.276,1,0.5992,,,,,,,,,,,,,,,,,,,,
cg4973,0.1913,0.6399,0.765,++,0,0.035,1,0.8506,,,,,,,,,,,,,,,,,,,,
cg4470,-0.0841,0.2816,0.7654,+-,0,0.594,1,0.441,,,,,,,,,,,,,,,,,,,,
cg2404,-0.0945,0.3169,0.7654,-+,0,0.352,1,0.5528,,,,,,,,,,,,,,,,,,,,
cg2805,0.0385,0.1291,0.7655,++,0,0.197,1,0.6569,,,,,,,,,,,,,,,,,,,,
cg1875,0.123,0.4132,0.766,-+,0,0.333,1,0.5639,,,,,,,,,,,,,,,,,,,,
cg669,-0.0904,0.3039,0.7661,-+,70.4,3.373,1,0.06627,,,,,,,,,,,,,,,,,,,,
cg4777,0.0214,0.0719,0.7661,-+,0,0.959,1,0.3275,,,,,,,,,,,,,,,,,,,,
cg3806,0.1465,0.4928,0.7662,+-,29.3,1.414,1,0.2344,,,,,,,,,,,,,,,,,,,,
cg427,-0.1289,0.4338,0.7664,--,0,0.007,1,0.9335,,,,,,,,,,,,,,,,,,,,
cg1326,0.1176,0.3968,0.7669,-+,0,0.562,1,0.4536,,,,,,,,,,,,,,,,,,,,
cg4563,0.0654,0.2208,0.7671,++,0,0.015,1,0.9013,,,,,,,,,,,,,,,,,,,,
cg4071,0.1116,0.3775,0.7674,-+,81.9,5.527,1,0.01872,,,,,,,,,,,,,,,,,,,,
cg3068,-0.1265,0.4301,0.7686,-+,0,0.144,1,0.7039,,,,,,,,,,,,,,,,,,,,
cg1893,0.0608,0.2069,0.7689,-+,86.4,7.379,1,0.006598,,,,,,,,,,,,,,,,,,,,
cg4550,-0.0308,0.105,0.769,--,0,0.754,1,0.3851,,,,,,,,,,,,,,,,,,,,
cg217,0.1521,0.5181,0.7691,+-,0,0.588,1,0.443,,,,,,,,,,,,,,,,,,,,
cg3431,0.1325,0.4546,0.7706,++,0,0.058,1,0.8091,,,,,,,,,,,,,,,,,,,,
cg2452,0.2233,0.7667,0.7709,-+,0,0.659,1,0.4171,,,,,,,,,,,,,,,,,,,,
cg2717,0.1056,0.3628,0.771,-+,0,0.351,1,0.5538,,,,,,,,,,,,,,,,,,,,
cg3797,0.054,0.1855,0.7711,+-,85,6.689,1,0.009701,,,,,,,,,,,,,,,,,,,,
cg2663,-0.1324,0.4564,0.7717,--,0,0.012,1,0.9141,,,,,,,,,,,,,,,,,,,,
cg3088,0.1364,0.4704,0.7718,+-,0,0.142,1,0.7065,,,,,,,,,,,,,,,,,,,,
cg3516,-0.1552,0.5353,0.7719,--,0,0.007,1,0.9355,,,,,,,,,,,,,,,,,,,,
cg2127,-0.1626,0.5614,0.7721,--,0,0.079,1,0.7784,,,,,,,,,,,,,,,,,,,,
cg2817,0.0781,0.2701,0.7724,++,0,0.141,1,0.7072,,,,,,,,,,,,,,,,,,,,
cg4490,0.1349,0.4667,0.7726,+-,0,0.852,1,0.356,,,,,,,,,,,,,,,,,,,,
cg452,-0.0535,0.185,0.7726,--,0,0.535,1,0.4647,,,,,,,,,,,,,,,,,,,,
cg4441,0.0651,0.2257,0.7732,++,0,0.644,1,0.4223,,,,,,,,,,,,,,,,,,,,
cg1636,0.0746,0.2589,0.7732,+-,1.8,1.018,1,0.3129,,,,,,,,,,,,,,,,,,,,
cg650,-0.1356,0.4732,0.7745,+-,0,0.258,1,0.6113,,,,,,,,,,,,,,,,,,,,
cg3972,-0.0494,0.1728,0.7748,--,0,0.152,1,0.6962,,,,,,,,,,,,,,,,,,,,
cg4668,0.1493,0.5221,0.7749,-+,0,0.783,1,0.3761,,,,,,,,,,,,,,,,,,,,
cg4741,0.0377,0.1318,0.775,-+,0,0.129,1,0.719,,,,,,,,,,,,,,,,,,,,
cg3197,-0.1281,0.4486,0.7752,+-,3.6,1.038,1,0.3084,,,,,,,,,,,,,,,,,,,,
cg2065,-0.1713,0.6001,0.7753,+-,0,0.605,1,0.4367,,,,,,,,,,,,,,,,,,,,
cg2889,0.1044,0.3661,0.7755,+-,43.2,1.762,1,0.1844,,,,,,,,,,,,,,,,,,,,
cg3042,0.0813,0.285,0.7755,++,0,0.153,1,0.6955,,,,,,,,,,,,,,,,,,,,
cg4303,0.089,0.3123,0.7756,+-,0,0.185,1,0.6671,,,,,,,,,,,,,,,,,,,,
cg2304,0.051,0.1791,0.7759,++,0,0.006,1,0.9359,,,,,,,,,,,,,,,,,,,,
cg254,0.1372,0.4824,0.7761,+-,0,0.294,1,0.5876,,,,,,,,,,,,,,,,,,,,
cg4197,0.054,0.1902,0.7767,++,0,0,1,0.996,,,,,,,,,,,,,,,,,,,,
cg4850,0.1327,0.4692,0.7773,+-,0,0.359,1,0.5489,,,,,,,,,,,,,,,,,,,,
cg1479,-0.0716,0.2536,0.7776,+-,0,0.617,1,0.4322,,,,,,,,,,,,,,,,,,,,
cg4232,-0.1082,0.3852,0.7788,-+,0,0.949,1,0.33,,,,,,,,,,,,,,,,,,,,
cg1729,0.0693,0.247,0.779,++,0,0.01,1,0.9185,,,,,,,,,,,,,,,,,,,,
cg2538,-0.1081,0.3852,0.7791,+-,20.8,1.263,1,0.2611,,,,,,,,,,,,,,,,,,,,
cg2040,0.112,0.4002,0.7796,-+,60.4,2.525,1,0.112,,,,,,,,,,,,,,,,,,,,
cg1384,0.1151,0.4124,0.7802,++,0,0.01,1,0.9197,,,,,,,,,,,,,,,,,,,,
cg412,0.1186,0.4257,0.7805,-+,14.8,1.174,1,0.2787,,,,,,,,,,,,,,,,,,,,
cg2429,0.1002,0.3599,0.7806,-+,2.1,1.021,1,0.3122,,,,,,,,,,,,,,,,,,,,
cg4693,-0.1519,0.5467,0.7811,+-,0,0.36,1,0.5482,,,,,,,,,,,,,,,,,,,,
cg4960,-0.0452,0.163,0.7817,-+,87.9,8.254,1,0.004066,,,,,,,,,,,,,,,,,,,,
cg4186,0.0402,0.1455,0.7822,++,34.1,1.518,1,0.2179,,,,,,,,,,,,,,,,,,,,
cg2381,-0.1569,0.5684,0.7825,+-,0,0.198,1,0.656,,,,,,,,,,,,,,,,,,,,
cg4881,0.0664,0.2408,0.7827,-+,0,0.694,1,0.4048,,,,,,,,,,,,,,,,,,,,
cg4291,-0.0788,0.2862,0.7832,+-,31.2,1.453,1,0.2281,,,,,,,,,,,,,,,,,,,,
cg4884,0.086,0.3129,0.7835,-+,0,0.468,1,0.4937,,,,,,,,,,,,,,,,,,,,
cg2220,0.1046,0.3808,0.7837,-+,74.1,3.857,1,0.04952,,,,,,,,,,,,,,,,,,,,
cg4177,-0.0866,0.3161,0.7842,-+,31.9,1.469,1,0.2255,,,,,,,,,,,,,,,,,,,,
cg3891,-0.0781,0.286,0.7849,--,0,0.267,1,0.6056,,,,,,,,,,,,,,,,,,,,
cg1817,0.0451,0.1654,0.7849,-+,86.4,7.338,1,0.006751,,,,,,,,,,,,,,,,,,,,
cg3233,-0.0463,0.1697,0.7851,--,0,0.478,1,0.4894,,,,,,,,,,,,,,,,,,,,
cg2278,0.0762,0.2799,0.7855,-+,0,0.829,1,0.3625,,,,,,,,,,,,,,,,,,,,
cg2897,0.05,0.1837,0.7856,-+,0,0.429,1,0.5127,,,,,,,,,,,,,,,,,,,,
cg3737,-0.1836,0.6762,0.7859,--,0,0.034,1,0.8545,,,,,,,,,,,,,,,,,,,,
cg4054,0.0869,0.3201,0.786,-+,85.3,6.8,1,0.009114,,,,,,,,,,,,,,,,,,,,
cg3508,-0.1116,0.4115,0.7862,--,0,0.003,1,0.954,,,,,,,,,,,,,,,,,,,,
cg3314,0.0847,0.3127,0.7864,+-,0,0.614,1,0.4332,,,,,,,,,,,,,,,,,,,,
cg4633,-0.0364,0.1346,0.7866,+-,0,0.249,1,0.6181,,,,,,,,,,,,,,,,,,,,
cg4849,-0.0964,0.3562,0.7868,-+,35.1,1.542,1,0.2143,,,,,,,,,,,,,,,,,,,,
cg636,0.1423,0.5264,0.7869,++,0,0.194,1,0.6595,,,,,,,,,,,,,,,,,,,,
cg3843,-0.0215,0.0796,0.787,+-,0,0.739,1,0.3899,,,,,,,,,,,,,,,,,,,,
cg3949,-0.1693,0.6269,0.7871,--,0,0.008,1,0.9293,,,,,,,,,,,,,,,,,,,,
cg119,-0.0973,0.3609,0.7875,--,0,0.007,1,0.9348,,,,,,,,,,,,,,,,,,,,
cg3079,-0.1493,0.5541,0.7876,+-,0,0.073,1,0.7866,,,,,,,,,,,,,,,,,,,,
cg4034,-0.0918,0.3414,0.7881,+-,46.5,1.868,1,0.1717,,,,,,,,,,,,,,,,,,,,
cg1595,-0.1174,0.4374,0.7884,-+,15.2,1.179,1,0.2775,,,,,,,,,,,,,,,,,,,,
cg301,0.0783,0.2933,0.7894,++,0,0.184,1,0.6678,,,,,,,,,,,,,,,,,,,,
cg3527,-0.0443,0.1657,0.7894,-+,72.2,3.602,1,0.0577,,,,,,,,,,,,,,,,,,,,
cg1815,-0.0745,0.2789,0.7894,+-,0,0.725,1,0.3944,,,,,,,,,,,,,,,,,,,,
cg2374,0.0771,0.2891,0.7897,++,0,0.325,1,0.5686,,,,,,,,,,,,,,,,,,,,
cg2778,0.1138,0.4272,0.79,+-,0,0.906,1,0.3413,,,,,,,,,,,,,,,,,,,,
cg1442,0.0874,0.3286,0.7902,-+,55,2.223,1,0.1359,,,,,,,,,,,,,,,,,,,,
cg2029,0.0313,0.118,0.791,+-,30.3,1.435,1,0.231,,,,,,,,,,,,,,,,,,,,
cg2709,-0.1118,0.4221,0.7911,-+,79.4,4.864,1,0.02742,,,,,,,,,,,,,,,,,,,,
cg4897,-0.1129,0.4263,0.7911,+-,0,0.037,1,0.8484,,,,,,,,,,,,,,,,,,,,
cg3569,0.1351,0.5106,0.7913,++,0,0.064,1,0.7999,,,,,,,,,,,,,,,,,,,,
cg4047,0.1555,0.5916,0.7927,+-,0,0.51,1,0.475,,,,,,,,,,,,,,,,,,,,
cg1745,-0.0716,0.2728,0.793,-+,0,0.352,1,0.553,,,,,,,,,,,,,,,,,,,,
cg1739,0.1432,0.5461,0.7932,-+,0,0.153,1,0.6954,,,,,,,,,,,,,,,,,,,,
cg4731,0.0579,0.221,0.7933,++,0,0.084,1,0.7723,,,,,,,,,,,,,,,,,,,,
cg405,0.1543,0.5895,0.7935,++,0,0.011,1,0.9149,,,,,,,,,,,,,,,,,,,,
cg3283,0.1076,0.4115,0.7938,-+,0,0.156,1,0.6927,,,,,,,,,,,,,,,,,,,,
cg1498,0.1539,0.5898,0.7941,-+,0,0.429,1,0.5124,,,,,,,,,,,,,,,,,,,,
cg2052,0.0932,0.3573,0.7941,-+,0,0.72,1,0.3963,,,,,,,,,,,,,,,,,,,,
cg876,-0.1215,0.4668,0.7946,+-,0,0.333,1,0.5636,,,,,,,,,,,,,,,,,,,,
cg1728,0.106,0.4076,0.7948,-+,0,0.043,1,0.8358,,,,,,,,,,,,,,,,,,,,
cg4103,0.1504,0.5791,0.795,-+,0,0.289,1,0.591,,,,,,,,,,,,,,,,,,,,
cg2745,0.0937,0.3617,0.7956,-+,0,0.583,1,0.4451,,,,,,,,,,,,,,,,,,,,
cg171,0.0638,0.2473,0.7965,+-,0,0.838,1,0.36,,,,,,,,,,,,,,,,,,,,
cg113,0.0943,0.3661,0.7968,+-,0,0.188,1,0.6645,,,,,,,,,,,,,,,,,,,,
cg521,0.0594,0.2315,0.7974,-+,33.6,1.506,1,0.2198,,,,,,,,,,,,,,,,,,,,
cg2105,0.1157,0.4532,0.7985,+-,0,0.457,1,0.499,,,,,,,,,,,,,,,,,,,,
cg1309,0.1005,0.3947,0.7989,-+,0,0.039,1,0.8442,,,,,,,,,,,,,,,,,,,,
cg3615,-0.037,0.1451,0.799,--,0,0,1,0.9965,,,,,,,,,,,,,,,,,,,,
cg2678,0.0807,0.3178,0.7996,-+,6.8,1.073,1,0.3002,,,,,,,,,,,,,,,,,,,,
cg3423,-0.0345,0.1362,0.7998,--,0,0.345,1,0.5568,,,,,,,,,,,,,,,,,,,,
cg3552,0.0892,0.3529,0.8005,++,0,0.01,1,0.9208,,,,,,,,,,,,,,,,,,,,
cg4255,0.0825,0.3269,0.8007,+-,0,0.988,1,0.3201,,,,,,,,,,,,,,,,,,,,
cg3653,-0.1053,0.4178,0.801,+-,0,0.29,1,0.59,,,,,,,,,,,,,,,,,,,,
cg3470,0.0966,0.3854,0.802,-+,0,0.293,1,0.5882,,,,,,,,,,,,,,,,,,,,
cg3408,-0.1165,0.4652,0.8022,+-,0,0.153,1,0.6961,,,,,,,,,,,,,,,,,,,,
cg2739,-0.0454,0.1812,0.8022,+-,6.7,1.072,1,0.3004,,,,,,,,,,,,,,,,,,,,
cg240,0.064,0.256,0.8025,-+,0,0.537,1,0.4637,,,,,,,,,,,,,,,,,,,,
